Case Number,Date Reported,Time Reported,Month Reported,Day of Week Reported,Nature of Call for Service,District,Agency,Report/No Report
B16-19821,5/25/2016,12:37 AM,May,Wednesday,SUSP ACT IP,LB420,BPD,NO REPORT NEEDED
B16-19820,5/25/2016,12:32 AM,May,Wednesday,WEAPONS IP,LB101,BPD,NO REPORT NEEDED
B16-19819,5/25/2016,12:23 AM,May,Wednesday,ATL,LB410,BPD,NO REPORT NEEDED
B16-19818,5/25/2016,12:18 AM,May,Wednesday,TRAFFIC STOP,LB412,BPD,NO REPORT NEEDED
B16-19817,5/25/2016,12:16 AM,May,Wednesday,TRAFFIC STOP,LB314,BPD,NO REPORT NEEDED
B16-19816,5/25/2016,12:05 AM,May,Wednesday,TRAFFIC STOP,LIU14,BPD,NO REPORT NEEDED
B16-19815,5/25/2016,12:00 AM,May,Wednesday,TRAFFIC STOP,LMN02,BPD,REPORT NEEDED
B16-19814,5/24/2016,11:54 PM,May,Tuesday,ALARM,LB102,BPD,NO REPORT NEEDED
B16-19813,5/24/2016,11:49 PM,May,Tuesday,WELFARE CHK IP,LB517,BPD,NO REPORT NEEDED
B16-19812,5/24/2016,11:47 PM,May,Tuesday,DOMESTIC IP,LB402,BPD,NO REPORT NEEDED
B16-19811,5/24/2016,11:30 PM,May,Tuesday,ALARM,LB221,BPD,NO REPORT NEEDED
B16-19810,5/24/2016,11:21 PM,May,Tuesday,TRAFFIC STOP,LB316,BPD,NO REPORT NEEDED
B16-19809,5/24/2016,10:57 PM,May,Tuesday,FOLLOW UP,LB222,BPD,NO REPORT NEEDED
B16-19807,5/24/2016,10:55 PM,May,Tuesday,TRAFFIC STOP,LB414,BPD,NO REPORT NEEDED
B16-19808,5/24/2016,10:52 PM,May,Tuesday,WELFARE CHK IP,LB416,BPD,NO REPORT NEEDED
B16-19806,5/24/2016,10:51 PM,May,Tuesday,SUSP ACT IP,LB104,BPD,NO REPORT NEEDED
B16-19805,5/24/2016,10:49 PM,May,Tuesday,FOLLOW UP,LB327,BPD,NO REPORT NEEDED
B16-19803,5/24/2016,10:40 PM,May,Tuesday,ACCIDENT PI,LB305,BPD,REPORT NEEDED
B16-19802,5/24/2016,10:37 PM,May,Tuesday,TRAFFIC STOP,LB406,BPD,NO REPORT NEEDED
B16-19801,5/24/2016,10:30 PM,May,Tuesday,TRAFFIC STOP,LB421,BPD,NO REPORT NEEDED
B16-19800,5/24/2016,10:22 PM,May,Tuesday,TRAFFIC STOP,LB422,BPD,NO REPORT NEEDED
B16-19799,5/24/2016,10:18 PM,May,Tuesday,TRAFFIC STOP,LB403,BPD,NO REPORT NEEDED
B16-19798,5/24/2016,10:07 PM,May,Tuesday,PARKING,LB315,BPD,REPORT NEEDED
B16-19797,5/24/2016,10:03 PM,May,Tuesday,WARRANT SERVICE,LB521,BPD,NO REPORT NEEDED
B16-19804,5/24/2016,10:00 PM,May,Tuesday,ANIMAL,LB215,BPD,NO REPORT NEEDED
B16-19795,5/24/2016,9:50 PM,May,Tuesday,TRAFFIC STOP,LB315,BPD,NO REPORT NEEDED
B16-19796,5/24/2016,9:47 PM,May,Tuesday,NOISE,LB406,BPD,NO REPORT NEEDED
B16-19791,5/24/2016,9:26 PM,May,Tuesday,WELFARE CHK IP,LB409,BPD,NO REPORT NEEDED
B16-19792,5/24/2016,9:24 PM,May,Tuesday,ATL,LB320,BPD,NO REPORT NEEDED
B16-19790,5/24/2016,9:18 PM,May,Tuesday,ACCIDENT PI,LB327,BPD,REPORT NEEDED
B16-19789,5/24/2016,9:18 PM,May,Tuesday,SUSP ACT IP,LB409,BPD,NO REPORT NEEDED
B16-19788,5/24/2016,9:14 PM,May,Tuesday,NOISE,LB104,BPD,NO REPORT NEEDED
B16-19794,5/24/2016,9:14 PM,May,Tuesday,ANIMAL,LB323,BPD,NO REPORT NEEDED
B16-19786,5/24/2016,8:58 PM,May,Tuesday,SUSP ACT IP,LIU14,BPD,NO REPORT NEEDED
B16-19785,5/24/2016,8:56 PM,May,Tuesday,TRAFFIC STOP,LB524,BPD,NO REPORT NEEDED
B16-19787,5/24/2016,8:56 PM,May,Tuesday,PANHANDLING,LB314,BPD,NO REPORT NEEDED
B16-19793,5/24/2016,8:52 PM,May,Tuesday,ATL,LMN19,BPD,NO REPORT NEEDED
B16-19784,5/24/2016,8:43 PM,May,Tuesday,TRAFFIC STOP,LB405,BPD,NO REPORT NEEDED
B16-19783,5/24/2016,8:33 PM,May,Tuesday,ANIMAL,LB517,BPD,NO REPORT NEEDED
B16-19781,5/24/2016,8:20 PM,May,Tuesday,DOMESTIC IP,LB517,BPD,NO REPORT NEEDED
B16-19780,5/24/2016,8:17 PM,May,Tuesday,TRAFFIC STOP,LB421,BPD,NO REPORT NEEDED
B16-19782,5/24/2016,8:12 PM,May,Tuesday,THEFT NP,LB209,BPD,REPORT NEEDED
B16-19779,5/24/2016,7:51 PM,May,Tuesday,ACCIDENT LSA NP,LB521,BPD,REPORT NEEDED
B16-19778,5/24/2016,7:50 PM,May,Tuesday,TRESPASS IP,LB511,BPD,NO REPORT NEEDED
B16-19776,5/24/2016,7:43 PM,May,Tuesday,DOMESTIC IP,LB404,BPD,NO REPORT NEEDED
B16-19775,5/24/2016,7:38 PM,May,Tuesday,TRAFFIC STOP,LB304,BPD,NO REPORT NEEDED
B16-19777,5/24/2016,7:38 PM,May,Tuesday,WELFARE CHK NP,LB104,BPD,NO REPORT NEEDED
B16-19773,5/24/2016,7:19 PM,May,Tuesday,ANIMAL,LB326,BPD,NO REPORT NEEDED
B16-19772,5/24/2016,7:06 PM,May,Tuesday,THEFT NP,LB513,BPD,REPORT NEEDED
B16-19774,5/24/2016,7:03 PM,May,Tuesday,NOISE,LB307,BPD,NO REPORT NEEDED
B16-19771,5/24/2016,7:03 PM,May,Tuesday,ANIMAL,LB321,BPD,NO REPORT NEEDED
B16-19770,5/24/2016,7:01 PM,May,Tuesday,ANIMAL,LB221,BPD,NO REPORT NEEDED
B16-19769,5/24/2016,6:48 PM,May,Tuesday,TRAFFIC HAZARD,LB520,BPD,NO REPORT NEEDED
B16-19768,5/24/2016,6:33 PM,May,Tuesday,DRUGS IP,LB424,BPD,NO REPORT NEEDED
B16-19766,5/24/2016,6:21 PM,May,Tuesday,SUSP ACT IP,LB524,BPD,NO REPORT NEEDED
B16-19767,5/24/2016,6:20 PM,May,Tuesday,ANIMAL,LB303,BPD,NO REPORT NEEDED
B16-19764,5/24/2016,6:05 PM,May,Tuesday,TRAFFIC STOP,LB424,BPD,NO REPORT NEEDED
B16-19763,5/24/2016,6:01 PM,May,Tuesday,FOLLOW UP,LB412,BPD,NO REPORT NEEDED
B16-19761,5/24/2016,5:57 PM,May,Tuesday,ASSIGNED DETAIL,LB410,BPD,NO REPORT NEEDED
B16-19765,5/24/2016,5:50 PM,May,Tuesday,SERVICE IP,LB104,BPD,NO REPORT NEEDED
B16-19759,5/24/2016,5:47 PM,May,Tuesday,TRAFFIC STOP,LB512,BPD,NO REPORT NEEDED
B16-19762,5/24/2016,5:40 PM,May,Tuesday,PARKING,LB303,BPD,NO REPORT NEEDED
B16-19758,5/24/2016,5:39 PM,May,Tuesday,ASSAULT NP,LB517,BPD,REPORT NEEDED
B16-19757,5/24/2016,5:22 PM,May,Tuesday,ROV NP,LB336,BPD,REPORT NEEDED
B16-19755,5/24/2016,5:19 PM,May,Tuesday,TRAFFIC STOP,LB103,BPD,NO REPORT NEEDED
B16-19756,5/24/2016,5:17 PM,May,Tuesday,DISTURBANCE IP,LB428,BPD,NO REPORT NEEDED
B16-19760,5/24/2016,5:16 PM,May,Tuesday,WARRANT SERVICE,LB329,BPD,
B16-19752,5/24/2016,4:57 PM,May,Tuesday,TRAFFIC STOP,LB510,BPD,NO REPORT NEEDED
B16-19753,5/24/2016,4:55 PM,May,Tuesday,THEFT NP,LB506,BPD,REPORT NEEDED
B16-19754,5/24/2016,4:53 PM,May,Tuesday,NOISE,,BPD,NO REPORT NEEDED
B16-19751,5/24/2016,4:30 PM,May,Tuesday,WELFARE CHK IP,LB406,BPD,NO REPORT NEEDED
B16-19750,5/24/2016,4:23 PM,May,Tuesday,TRESPASS IP,LB326,BPD,NO REPORT NEEDED
B16-19748,5/24/2016,4:02 PM,May,Tuesday,DISTURBANCE IP,LB102,BPD,NO REPORT NEEDED
B16-19746,5/24/2016,3:54 PM,May,Tuesday,MOTORIST ASSIST,LB406,BPD,NO REPORT NEEDED
B16-19745,5/24/2016,3:53 PM,May,Tuesday,FOLLOW UP,LB104,BPD,NO REPORT NEEDED
B16-19749,5/24/2016,3:51 PM,May,Tuesday,NOISE,LB513,BPD,NO REPORT NEEDED
B16-19744,5/24/2016,3:48 PM,May,Tuesday,TRAFFIC HAZARD,LB524,BPD,NO REPORT NEEDED
B16-19747,5/24/2016,3:47 PM,May,Tuesday,THEFT NP,LB514,BPD,REPORT NEEDED
B16-19743,5/24/2016,3:47 PM,May,Tuesday,ACCIDENT PD IP,LB408,BPD,NO REPORT NEEDED
B16-19740,5/24/2016,3:43 PM,May,Tuesday,SUSP ACT IP,LB326,BPD,NO REPORT NEEDED
B16-19739,5/24/2016,3:40 PM,May,Tuesday,ALARM,LMS02,BPD,NO REPORT NEEDED
B16-19736,5/24/2016,3:36 PM,May,Tuesday,TRAFFIC HAZARD,LB411,BPD,NO REPORT NEEDED
B16-19742,5/24/2016,3:35 PM,May,Tuesday,STALKING NP,LB102,BPD,REPORT NEEDED
B16-19738,5/24/2016,3:33 PM,May,Tuesday,ABANDONED VEH,LB418,BPD,NO REPORT NEEDED
B16-19734,5/24/2016,3:30 PM,May,Tuesday,WELFARE CHK IP,LB520,BPD,NO REPORT NEEDED
B16-19735,5/24/2016,3:28 PM,May,Tuesday,VANDALISM NP,LB212,BPD,REPORT NEEDED
B16-19737,5/24/2016,3:25 PM,May,Tuesday,FRAUD,LB411,BPD,NO REPORT NEEDED
B16-19741,5/24/2016,3:24 PM,May,Tuesday,FRAUD,LB309,BPD,REPORT NEEDED
B16-19733,5/24/2016,3:21 PM,May,Tuesday,FOLLOW UP,LB104,BPD,NO REPORT NEEDED
B16-19732,5/24/2016,3:17 PM,May,Tuesday,HARASSMENT IP,LB102,BPD,NO REPORT NEEDED
B16-19731,5/24/2016,3:11 PM,May,Tuesday,WELFARE CHK IP,LB517,BPD,NO REPORT NEEDED
B16-19729,5/24/2016,3:10 PM,May,Tuesday,EXTRA PATROL,LB410,BPD,NO REPORT NEEDED
B16-19730,5/24/2016,3:08 PM,May,Tuesday,WELFARE CHK IP,LB517,BPD,NO REPORT NEEDED
B16-19728,5/24/2016,3:07 PM,May,Tuesday,THEFT NP,LB512,BPD,REPORT NEEDED
B16-19726,5/24/2016,2:59 PM,May,Tuesday,FOLLOW UP,LB336,BPD,NO REPORT NEEDED
B16-19727,5/24/2016,2:44 PM,May,Tuesday,FOLLOW UP,LB302,BPD,NO REPORT NEEDED
B16-19725,5/24/2016,2:37 PM,May,Tuesday,HARASSMENT IP,LB102,BPD,NO REPORT NEEDED
B16-19724,5/24/2016,2:31 PM,May,Tuesday,TRAFFIC HAZARD,,BPD,NO REPORT NEEDED
B16-19723,5/24/2016,2:25 PM,May,Tuesday,SUSP ACT IP,LB336,BPD,NO REPORT NEEDED
B16-19722,5/24/2016,2:18 PM,May,Tuesday,FBRUSH FIRE,LB518,BPD,NO REPORT NEEDED
B16-19720,5/24/2016,2:06 PM,May,Tuesday,FOLLOW UP,LB104,BPD,NO REPORT NEEDED
B16-19721,5/24/2016,1:58 PM,May,Tuesday,DISTURBANCE NP,LB517,BPD,NO REPORT NEEDED
B16-19719,5/24/2016,1:53 PM,May,Tuesday,SERVICE IP,LB104,BPD,REPORT NEEDED
B16-19718,5/24/2016,1:43 PM,May,Tuesday,NOISE,LB513,BPD,NO REPORT NEEDED
B16-19714,5/24/2016,1:43 PM,May,Tuesday,FOLLOW UP,LMS29,BPD,NO REPORT NEEDED
B16-19716,5/24/2016,1:15 PM,May,Tuesday,WARRANT SERVICE,LB314,BPD,REPORT NEEDED
B16-19713,5/24/2016,1:01 PM,May,Tuesday,ASSAULT NP,LB410,BPD,NO REPORT NEEDED
B16-19711,5/24/2016,12:50 PM,May,Tuesday,SERVICE IP,LB102,BPD,NO REPORT NEEDED
B16-19715,5/24/2016,12:47 PM,May,Tuesday,THEFT NP,LB302,BPD,NO REPORT NEEDED
B16-19710,5/24/2016,12:46 PM,May,Tuesday,SEX OFFENSE NP,LB517,BPD,REPORT NEEDED
B16-19707,5/24/2016,12:37 PM,May,Tuesday,SUSP ACT IP,LB102,BPD,NO REPORT NEEDED
B16-19717,5/24/2016,12:23 PM,May,Tuesday,PROPERTY,LB428,BPD,REPORT NEEDED
B16-19704,5/24/2016,12:13 PM,May,Tuesday,TRAFFIC STOP,LB4,BPD,NO REPORT NEEDED
B16-19703,5/24/2016,12:13 PM,May,Tuesday,TRAFFIC STOP,LB4,BPD,NO REPORT NEEDED
B16-19705,5/24/2016,12:05 PM,May,Tuesday,SUSP ACT IP,LB506,BPD,NO REPORT NEEDED
B16-19709,5/24/2016,12:02 PM,May,Tuesday,FOLLOW UP,LB518,BPD,NO REPORT NEEDED
B16-19702,5/24/2016,11:51 AM,May,Tuesday,JUVENILE,LB521,BPD,NO REPORT NEEDED
B16-19708,5/24/2016,11:35 AM,May,Tuesday,ACCIDENT LSA NP,LB305,BPD,REPORT NEEDED
B16-19701,5/24/2016,11:22 AM,May,Tuesday,SERVICE IP,LB428,BPD,NO REPORT NEEDED
B16-19700,5/24/2016,11:20 AM,May,Tuesday,VEH THEFT IP,LB524,BPD,REPORT NEEDED
B16-19712,5/24/2016,11:18 AM,May,Tuesday,SERVICE IP,LB305,BPD,NO REPORT NEEDED
B16-19698,5/24/2016,11:17 AM,May,Tuesday,EXTRA PATROL,LB521,BPD,NO REPORT NEEDED
B16-19697,5/24/2016,11:16 AM,May,Tuesday,FOLLOW UP,LB310,BPD,NO REPORT NEEDED
B16-19699,5/24/2016,11:15 AM,May,Tuesday,DISTURBANCE IP,LMNC,BPD,NO REPORT NEEDED
B16-19696,5/24/2016,11:03 AM,May,Tuesday,FRAUD,LB410,BPD,REPORT NEEDED
B16-19706,5/24/2016,10:47 AM,May,Tuesday,HARASSMENT NP,LB212,BPD,NO REPORT NEEDED
B16-19693,5/24/2016,10:31 AM,May,Tuesday,TRAFFIC STOP,LB104,BPD,NO REPORT NEEDED
B16-19694,5/24/2016,10:29 AM,May,Tuesday,TRESPASS IP,LB103,BPD,NO REPORT NEEDED
B16-19695,5/24/2016,10:28 AM,May,Tuesday,ACCIDENT LSA IP,LB104,BPD,REPORT NEEDED
B16-19692,5/24/2016,10:27 AM,May,Tuesday,ACCIDENT PD IP,LB519,BPD,REPORT NEEDED
B16-19691,5/24/2016,10:17 AM,May,Tuesday,FOLLOW UP,LB310,BPD,NO REPORT NEEDED
B16-19690,5/24/2016,10:11 AM,May,Tuesday,THEFT NP,LB102,BPD,REPORT NEEDED
B16-19689,5/24/2016,10:07 AM,May,Tuesday,HARASSMENT NP,LB413,BPD,NO REPORT NEEDED
B16-19688,5/24/2016,10:03 AM,May,Tuesday,ACCIDENT PD IP,LB417,BPD,NO REPORT NEEDED
B16-19687,5/24/2016,9:57 AM,May,Tuesday,DISTURBANCE IP,LB221,BPD,NO REPORT NEEDED
B16-19686,5/24/2016,9:39 AM,May,Tuesday,ACCIDENT PD IP,LB516,BPD,REPORT NEEDED
B16-19685,5/24/2016,9:18 AM,May,Tuesday,FOLLOW UP,LB508,BPD,NO REPORT NEEDED
B16-19684,5/24/2016,9:09 AM,May,Tuesday,TOW IN,LB104,BPD,NO REPORT NEEDED
B16-19683,5/24/2016,8:38 AM,May,Tuesday,DOMESTIC NP,LB104,BPD,NO REPORT NEEDED
B16-19681,5/24/2016,8:18 AM,May,Tuesday,EXTRA PATROL,LB104,BPD,NO REPORT NEEDED
B16-19680,5/24/2016,8:06 AM,May,Tuesday,WELFARE CHK IP,LB417,BPD,NO REPORT NEEDED
B16-19679,5/24/2016,8:05 AM,May,Tuesday,TRAFFIC STOP,LB519,BPD,NO REPORT NEEDED
B16-19682,5/24/2016,8:02 AM,May,Tuesday,CIVIL NP,LB222,BPD,NO REPORT NEEDED
B16-19678,5/24/2016,8:00 AM,May,Tuesday,DOMESTIC IP,LB421,BPD,NO REPORT NEEDED
B16-19676,5/24/2016,7:56 AM,May,Tuesday,ACCIDENT PD NP,LB406,BPD,NO REPORT NEEDED
B16-19677,5/24/2016,7:30 AM,May,Tuesday,RUNAWAY,LB222,BPD,REPORT NEEDED
B16-19674,5/24/2016,7:20 AM,May,Tuesday,SEX ASSAULT NP,LB518,BPD,REPORT NEEDED
B16-19673,5/24/2016,7:16 AM,May,Tuesday,DISTURBANCE IP,LB327,BPD,NO REPORT NEEDED
B16-19672,5/24/2016,7:12 AM,May,Tuesday,EXTRA PATROL,LB102,BPD,NO REPORT NEEDED
B16-19671,5/24/2016,6:59 AM,May,Tuesday,TRAFFIC HAZARD,LB304,BPD,NO REPORT NEEDED
B16-19675,5/24/2016,6:50 AM,May,Tuesday,ATL,LB406,BPD,NO REPORT NEEDED
B16-19670,5/24/2016,5:31 AM,May,Tuesday,SUSP ACT IP,LB406,BPD,NO REPORT NEEDED
B16-19669,5/24/2016,5:28 AM,May,Tuesday,ASSIGNED DETAIL,LB503,BPD,NO REPORT NEEDED
B16-19668,5/24/2016,5:01 AM,May,Tuesday,BURGLARY IP,LB315,BPD,REPORT NEEDED
B16-19667,5/24/2016,3:59 AM,May,Tuesday,THEFT IP,LB102,BPD,REPORT NEEDED
B16-19666,5/24/2016,3:53 AM,May,Tuesday,ATL,LB305,BPD,NO REPORT NEEDED
B16-19665,5/24/2016,3:06 AM,May,Tuesday,SUSP ACT IP,LB334,BPD,NO REPORT NEEDED
B16-19664,5/24/2016,2:37 AM,May,Tuesday,SUSP ACT IP,LB102,BPD,NO REPORT NEEDED
B16-19663,5/24/2016,2:28 AM,May,Tuesday,DOMESTIC IP,LB517,BPD,NO REPORT NEEDED
B16-19662,5/24/2016,2:16 AM,May,Tuesday,SUSP ACT IP,LB101,BPD,NO REPORT NEEDED
B16-19661,5/24/2016,2:12 AM,May,Tuesday,ALARM,LB406,BPD,NO REPORT NEEDED
B16-19660,5/24/2016,2:10 AM,May,Tuesday,CIVIL IP,LB310,BPD,NO REPORT NEEDED
B16-19659,5/24/2016,2:04 AM,May,Tuesday,ASSAULT NP,LB520,BPD,REPORT NEEDED
B16-19658,5/24/2016,1:57 AM,May,Tuesday,OTHER,LB219,BPD,NO REPORT NEEDED
B16-19657,5/24/2016,1:41 AM,May,Tuesday,SUSP ACT IP,LB104,BPD,NO REPORT NEEDED
B16-19656,5/24/2016,1:32 AM,May,Tuesday,SUSP ACT IP,LB102,BPD,NO REPORT NEEDED
B16-19655,5/24/2016,1:22 AM,May,Tuesday,ALARM,LB422,BPD,NO REPORT NEEDED
B16-19654,5/24/2016,1:03 AM,May,Tuesday,HARASSMENT IP,LB221,BPD,NO REPORT NEEDED
B16-19653,5/24/2016,12:32 AM,May,Tuesday,NOISE,LB302,BPD,NO REPORT NEEDED
B16-19651,5/24/2016,12:28 AM,May,Tuesday,SUSP ACT IP,LB302,BPD,REPORT NEEDED
B16-19650,5/24/2016,12:24 AM,May,Tuesday,DOMESTIC IP,LB316,BPD,NO REPORT NEEDED
B16-19649,5/24/2016,12:23 AM,May,Tuesday,DOMESTIC IP,LB212,BPD,NO REPORT NEEDED
B16-19652,5/24/2016,12:21 AM,May,Tuesday,ATL,LB336,BPD,NO REPORT NEEDED
B16-19648,5/24/2016,12:21 AM,May,Tuesday,FIGHT IP,LB104,BPD,REPORT NEEDED
B16-19647,5/24/2016,12:14 AM,May,Tuesday,DRUNK,LB517,BPD,NO REPORT NEEDED
B16-19645,5/24/2016,12:05 AM,May,Tuesday,TRAFFIC STOP,LB404,BPD,NO REPORT NEEDED
B16-19646,5/24/2016,12:04 AM,May,Tuesday,DISTURBANCE IP,LB221,BPD,REPORT NEEDED
B16-19644,5/23/2016,11:38 PM,May,Monday,SUSP ACT IP,LB313,BPD,NO REPORT NEEDED
B16-19643,5/23/2016,11:24 PM,May,Monday,HARASSMENT IP,LB212,BPD,NO REPORT NEEDED
B16-19642,5/23/2016,11:23 PM,May,Monday,TRAFFIC STOP,LB424,BPD,NO REPORT NEEDED
B16-19641,5/23/2016,11:08 PM,May,Monday,PROPERTY,LB326,BPD,NO REPORT NEEDED
B16-19640,5/23/2016,11:04 PM,May,Monday,SUSP ACT IP,LB104,BPD,NO REPORT NEEDED
B16-19639,5/23/2016,11:01 PM,May,Monday,TRAFFIC STOP,LIU14,BPD,NO REPORT NEEDED
B16-19638,5/23/2016,10:59 PM,May,Monday,TRAFFIC STOP,LB326,BPD,NO REPORT NEEDED
B16-19637,5/23/2016,10:44 PM,May,Monday,WARRANT SERVICE,LMS27,BPD,NO REPORT NEEDED
B16-19636,5/23/2016,10:40 PM,May,Monday,SUSP ACT IP,LB310,BPD,NO REPORT NEEDED
B16-19635,5/23/2016,10:29 PM,May,Monday,SUSP ACT IP,LB102,BPD,NO REPORT NEEDED
B16-19634,5/23/2016,10:23 PM,May,Monday,TRAFFIC STOP,LB422,BPD,NO REPORT NEEDED
B16-19633,5/23/2016,10:20 PM,May,Monday,TRAFFIC STOP,LB317,BPD,NO REPORT NEEDED
B16-19632,5/23/2016,10:08 PM,May,Monday,TRAFFIC STOP,LB421,BPD,NO REPORT NEEDED
B16-19631,5/23/2016,9:59 PM,May,Monday,ASSIGNED DETAIL,LB410,BPD,NO REPORT NEEDED
B16-19630,5/23/2016,9:54 PM,May,Monday,ANIMAL,LB216,BPD,NO REPORT NEEDED
B16-19629,5/23/2016,9:42 PM,May,Monday,ALARM,LB412,BPD,NO REPORT NEEDED
B16-19627,5/23/2016,9:37 PM,May,Monday,THEFT IP,LB327,BPD,REPORT NEEDED
B16-19628,5/23/2016,9:36 PM,May,Monday,FIGHT IP,LMS27,BPD,REPORT NEEDED
B16-19626,5/23/2016,9:35 PM,May,Monday,DISTURBANCE IP,LB410,BPD,NO REPORT NEEDED
B16-19625,5/23/2016,9:29 PM,May,Monday,TRAFFIC STOP,LB513,BPD,REPORT NEEDED
B16-19624,5/23/2016,9:18 PM,May,Monday,TRAFFIC STOP,LB520,BPD,NO REPORT NEEDED
B16-19622,5/23/2016,9:00 PM,May,Monday,TRAFFIC STOP,LB517,BPD,NO REPORT NEEDED
B16-19623,5/23/2016,8:58 PM,May,Monday,DISTURBANCE IP,LB104,BPD,NO REPORT NEEDED
B16-19620,5/23/2016,8:55 PM,May,Monday,FOLLOW UP,LB513,BPD,NO REPORT NEEDED
B16-19621,5/23/2016,8:53 PM,May,Monday,FOLLOW UP,LB104,BPD,NO REPORT NEEDED
B16-19618,5/23/2016,8:30 PM,May,Monday,PANHANDLING,LB512,BPD,NO REPORT NEEDED
B16-19619,5/23/2016,8:29 PM,May,Monday,HARASSMENT NP,LB221,BPD,NO REPORT NEEDED
B16-19617,5/23/2016,8:14 PM,May,Monday,ROV NP,LB517,BPD,REPORT NEEDED
B16-19615,5/23/2016,8:14 PM,May,Monday,WELFARE CHK IP,LB514,BPD,NO REPORT NEEDED
B16-19614,5/23/2016,8:04 PM,May,Monday,TRESPASS IP,LB521,BPD,NO REPORT NEEDED
B16-19616,5/23/2016,8:04 PM,May,Monday,NOISE,LB102,BPD,NO REPORT NEEDED
B16-19613,5/23/2016,8:02 PM,May,Monday,SUSP ACT IP,LB520,BPD,NO REPORT NEEDED
B16-19612,5/23/2016,7:59 PM,May,Monday,FOLLOW UP,LB412,BPD,NO REPORT NEEDED
B16-19611,5/23/2016,7:56 PM,May,Monday,OTHER,LB327,BPD,NO REPORT NEEDED
B16-19610,5/23/2016,7:47 PM,May,Monday,TRESPASS IP,LB410,BPD,NO REPORT NEEDED
B16-19609,5/23/2016,7:44 PM,May,Monday,FIGHT IP,LB104,BPD,NO REPORT NEEDED
B16-19608,5/23/2016,7:38 PM,May,Monday,HARASSMENT IP,LB104,BPD,NO REPORT NEEDED
B16-19607,5/23/2016,7:31 PM,May,Monday,FOLLOW UP,LB409,BPD,NO REPORT NEEDED
B16-19606,5/23/2016,7:18 PM,May,Monday,SERVICE IP,LB221,BPD,NO REPORT NEEDED
B16-19605,5/23/2016,7:09 PM,May,Monday,ANIMAL,LB409,BPD,NO REPORT NEEDED
B16-19603,5/23/2016,6:54 PM,May,Monday,MOTORIST ASSIST,LB427,BPD,NO REPORT NEEDED
B16-19601,5/23/2016,6:51 PM,May,Monday,DOMESTIC IP,LB104,BPD,NO REPORT NEEDED
B16-19602,5/23/2016,6:47 PM,May,Monday,SUSP ACT NP,LB412,BPD,REPORT NEEDED
B16-19604,5/23/2016,6:40 PM,May,Monday,THEFT NP,LB327,BPD,REPORT NEEDED
B16-19600,5/23/2016,6:32 PM,May,Monday,HARASSMENT NP,LB423,BPD,NO REPORT NEEDED
B16-19598,5/23/2016,6:29 PM,May,Monday,ASSAULT IP,LB410,BPD,NO REPORT NEEDED
B16-19599,5/23/2016,6:28 PM,May,Monday,WELFARE CHK IP,LB326,BPD,NO REPORT NEEDED
B16-19597,5/23/2016,6:23 PM,May,Monday,ACCIDENT PD IP,LB222,BPD,NO REPORT NEEDED
B16-19596,5/23/2016,6:15 PM,May,Monday,SEX ASSAULT NP,LB302,BPD,REPORT NEEDED
B16-19595,5/23/2016,5:55 PM,May,Monday,THEFT NP,LB327,BPD,NO REPORT NEEDED
B16-19594,5/23/2016,5:40 PM,May,Monday,SERVICE IP,LB327,BPD,NO REPORT NEEDED
B16-19592,5/23/2016,5:31 PM,May,Monday,TRESPASS IP,LB410,BPD,NO REPORT NEEDED
B16-19593,5/23/2016,5:30 PM,May,Monday,SERVICE NP,LB314,BPD,NO REPORT NEEDED
B16-19591,5/23/2016,5:25 PM,May,Monday,THEFT NP,LB409,BPD,NO REPORT NEEDED
B16-19590,5/23/2016,5:15 PM,May,Monday,THEFT NP,LB506,BPD,REPORT NEEDED
B16-19589,5/23/2016,5:09 PM,May,Monday,TRAFFIC STOP,LB524,BPD,NO REPORT NEEDED
B16-19587,5/23/2016,4:52 PM,May,Monday,TRESPASS IP,LB310,BPD,NO REPORT NEEDED
B16-19588,5/23/2016,4:49 PM,May,Monday,ASSAULT NP,LB424,BPD,REPORT NEEDED
B16-19585,5/23/2016,4:49 PM,May,Monday,EXTRA PATROL,LB102,BPD,NO REPORT NEEDED
B16-19586,5/23/2016,4:48 PM,May,Monday,THEFT NP,LB308,BPD,NO REPORT NEEDED
B16-19584,5/23/2016,4:25 PM,May,Monday,FOLLOW UP,LMS29,BPD,NO REPORT NEEDED
B16-19582,5/23/2016,4:22 PM,May,Monday,TRAFFIC HAZARD,LB411,BPD,NO REPORT NEEDED
B16-19583,5/23/2016,4:22 PM,May,Monday,DISTURBANCE IP,LB410,BPD,NO REPORT NEEDED
B16-19581,5/23/2016,3:59 PM,May,Monday,ACCIDENT PI,LB406,BPD,REPORT NEEDED
B16-19580,5/23/2016,3:40 PM,May,Monday,SERVICE IP,LB521,BPD,NO REPORT NEEDED
B16-19579,5/23/2016,3:34 PM,May,Monday,SUSP ACT IP,LB410,BPD,NO REPORT NEEDED
B16-19578,5/23/2016,3:34 PM,May,Monday,VANDALISM NP,LB416,BPD,REPORT NEEDED
B16-19576,5/23/2016,3:31 PM,May,Monday,FOLLOW UP,LB104,BPD,NO REPORT NEEDED
B16-19575,5/23/2016,3:23 PM,May,Monday,TRESPASS IP,LB104,BPD,NO REPORT NEEDED
B16-19574,5/23/2016,3:19 PM,May,Monday,TRESPASS IP,LB410,BPD,NO REPORT NEEDED
